2022-02-18T16-04-21,15106,ACORX,02/16/2022 12:00:00 AM,,25,,
2022-03-03T09-56-49,15106,ACORX,02/23/2022 12:00:00 AM,,50,25,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,15106,ACORX,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,50,25,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,15106,ACORX,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,50,25,02/24/2022 12:00:00 AM
2022-03-16T18-51-35,15106,ACORX,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,15106,ACORX,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,15106,ACORX,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-06-22T04-15-20,15106,ACORX,NLP,NLP,NLP,15,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,15106,ACORX,NLP,NLP,NLP,15,06/21/2022 12:00:00 AM
2022-06-24T04-15-26,15106,ACORX,NLP,NLP,NLP,15,06/21/2022 12:00:00 AM
